GeneSet	Description	p.value	FDR	Phenotype	Genes
Negative Regulation of Cell Cycle Process (GO:0010948)	Negative Regulation of Cell Cycle Process (GO:0010948)	0.00106046690170234	0.0368903404165961	1	ESPL1,NEK2,SKA3,AURKB,SKA1
Platelet Aggregation (GO:0070527)	Platelet Aggregation (GO:0070527)	0.00106046690170234	0.0368903404165961	1	CSRP1,ACTN1,FLNA,MYL9,VCL
Regulation of Attachment of Mitotic Spindle Microtubules to Kinetochore (GO:1902423)	Regulation of Attachment of Mitotic Spindle Microtubules to Kinetochore (GO:1902423)	0.0011162028139929	0.03753565057142	1	CDK1,BIRC5,AURKB
Centromeric Sister Chromatid Cohesion (GO:0070601)	Centromeric Sister Chromatid Cohesion (GO:0070601)	0.0011162028139929	0.03753565057142	1	SGO1,BUB1B,BUB1
Myofibril Assembly (GO:0030239)	Myofibril Assembly (GO:0030239)	0.00113208371186187	0.03753565057142	1	FHOD3,CSRP1,TPM1,LMOD1,PGM5,MYL9
Sensory Organ Development (GO:0007423)	Sensory Organ Development (GO:0007423)	0.00117208443872004	0.0382640489071373	1	NTF4,WNT10A,MEIS1,SH3PXD2B,GATA3,CHRDL1,MEIS2
Negative Regulation of Smooth Muscle Cell Proliferation (GO:0048662)	Negative Regulation of Smooth Muscle Cell Proliferation (GO:0048662)	0.00120439071812729	0.0384346270777408	1	CNN1,EFEMP2,TPM1,PPARGC1A,PRKG1
Kinetochore Assembly (GO:0051382)	Kinetochore Assembly (GO:0051382)	0.00121353440820388	0.0384346270777408	1	CENPE,CENPF,HJURP,DLGAP5
Intracellular Calcium Ion Homeostasis (GO:0006874)	Intracellular Calcium Ion Homeostasis (GO:0006874)	0.00136571188379357	0.0426182443736759	1	EDNRA,CD40,SLC24A3,CAV2,CAV1,TRPC1,ANXA6,RGN,ATP2B4,ANK2
Positive Regulation of Cell Motility (GO:2000147)	Positive Regulation of Cell Motility (GO:2000147)	0.00150493315382839	0.0438914152369778	1	CAVIN1,SYNPO2,CAV1,MYLK,DUOX1,MMP14,DAAM2,PDGFC,TRIP6,PDPN,DUOXA2,FERMT2,DUOX2,EPHA2
Positive Regulation of Protein Localization to Plasma Membrane (GO:1903078)	Positive Regulation of Protein Localization to Plasma Membrane (GO:1903078)	0.00150549264668638	0.0438914152369778	1	CLIP3,ITGA3,STAC,ATP2B4,SORBS1,EPHA2
Regulation of Mitotic Sister Chromatid Segregation (GO:0033047)	Regulation of Mitotic Sister Chromatid Segregation (GO:0033047)	0.00150993087290263	0.0438914152369778	1	CDK1,KNL1,AURKB
Mitotic Spindle Elongation (GO:0000022)	Mitotic Spindle Elongation (GO:0000022)	0.00150993087290263	0.0438914152369778	1	KIF4A,BIRC5,AURKB
Mitotic Spindle Midzone Assembly (GO:0051256)	Mitotic Spindle Midzone Assembly (GO:0051256)	0.00150993087290263	0.0438914152369778	1	KIF4A,BIRC5,AURKB
Regulation of G2/M Transition of Mitotic Cell Cycle (GO:0010389)	Regulation of G2/M Transition of Mitotic Cell Cycle (GO:0010389)	0.00153487465710463	0.0440135678699463	1	CENPF,FHL1,KIF14,CDK1,CDC25C
Hydrogen Peroxide Metabolic Process (GO:0042743)	Hydrogen Peroxide Metabolic Process (GO:0042743)	0.0017029382091308	0.0481092205310699	1	DUOX1,DUOXA1,DUOXA2,DUOX2
Regulation of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705)	Regulation of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904705)	0.00172304465615519	0.0481092205310699	1	CNN1,EFEMP2,GJA1,TPM1,PRKG1
Positive Regulation of Protein Localization to Cell Periphery (GO:1904377)	Positive Regulation of Protein Localization to Cell Periphery (GO:1904377)	0.00180206637414511	0.0496621408563107	1	CLIP3,ITGA3,STAC,ATP2B4,SORBS1,EPHA2
